sample,x,y_orig_r,y_orig_i,y_filt_r,y_filt_i
98,  0.9800, -0.3701,  0.0000, -0.6967,  0.0000
99,  0.9900, -0.3185,  0.0000, -0.6243,  0.0000
100,  1.0000, -0.1088,  0.0000, -0.3985,  0.0000
101,  1.0100,  0.1312,  0.0000, -0.1499,  0.0000
102,  1.0200,  0.2605,  0.0000, -0.0179,  0.0000
103,  1.0300,  0.3149,  0.0000,  0.0362,  0.0000
104,  1.0400,  0.4513,  0.0000,  0.1694,  0.0000
105,  1.0500,  0.7245,  0.0000,  0.4331,  0.0000
106,  1.0600,  1.0042,  0.0000,  0.6951,  0.0000
107,  1.0700,  1.1473,  0.0000,  0.8144,  0.0000
108,  1.0800,  1.1877,  0.0000,  0.8290,  0.0000
109,  1.0900,  1.2819,  0.0000,  0.8961,  0.0000
110,  1.1000,  1.4858,  0.0000,  1.0691,  0.0000
111,  1.1100,  1.6709,  0.0000,  1.2183,  0.0000
112,  1.1200,  1.6962,  0.0000,  1.2056,  0.0000
113,  1.1300,  1.5987,  0.0000,  1.0722,  0.0000
114,  1.1400,  1.5388,  0.0000,  0.9801,  0.0000
115,  1.1500,  1.5780,  0.0000,  0.9884,  0.0000
116,  1.1600,  1.5937,  0.0000,  0.9732,  0.0000
117,  1.1700,  1.4505,  0.0000,  0.8022,  0.0000
118,  1.1800,  1.1910,  0.0000,  0.5219,  0.0000
119,  1.1900,  0.9820,  0.0000,  0.2999,  0.0000
120,  1.2000,  0.8910,  0.0000,  0.2011,  0.0000
121,  1.2100,  0.8014,  0.0000,  0.1066,  0.0000
122,  1.2200,  0.5822,  0.0000, -0.1124,  0.0000
123,  1.2300,  0.2793,  0.0000, -0.4072,  0.0000
124,  1.2400,  0.0618,  0.0000, -0.6087,  0.0000
125,  1.2500, -0.0007,  0.0000, -0.6514,  0.0000
126,  1.2600, -0.0248,  0.0000, -0.6550,  0.0000
127,  1.2700, -0.1434,  0.0000, -0.7515,  0.0000
128,  1.2800, -0.3143,  0.0000, -0.8965,  0.0000
129,  1.2900, -0.3728,  0.0000, -0.9264,  0.0000
130,  1.3000, -0.2550,  0.0000, -0.7817,  0.0000
131,  1.3100, -0.0841,  0.0000, -0.5893,  0.0000
132,  1.3200, -0.0010,  0.0000, -0.4893,  0.0000
133,  1.3300,  0.0273,  0.0000, -0.4463,  0.0000
134,  1.3400,  0.1568,  0.0000, -0.3050,  0.0000
135,  1.3500,  0.4434,  0.0000, -0.0133,  0.0000
136,  1.3600,  0.7563,  0.0000,  0.2951,  0.0000
137,  1.3700,  0.9471,  0.0000,  0.4739,  0.0000
138,  1.3800,  1.0428,  0.0000,  0.5534,  0.0000
139,  1.3900,  1.1951,  0.0000,  0.6862,  0.0000
140,  1.4000,  1.4584,  0.0000,  0.9242,  0.0000
141,  1.4100,  1.7018,  0.0000,  1.1353,  0.0000
142,  1.4200,  1.7791,  0.0000,  1.1763,  0.0000
143,  1.4300,  1.7209,  0.0000,  1.0825,  0.0000
144,  1.4400,  1.6853,  0.0000,  1.0140,  0.0000
145,  1.4500,  1.7354,  0.0000,  1.0320,  0.0000
146,  1.4600,  1.7507,  0.0000,  1.0151,  0.0000
147,  1.4700,  1.5952,  0.0000,  0.8307,  0.0000
148,  1.4800,  1.3109,  0.0000,  0.5250,  0.0000
149,  1.4900,  1.0672,  0.0000,  0.2689,  0.0000
150,  1.5000,  0.9388,  0.0000,  0.1341,  0.0000
151,  1.5100,  0.8152,  0.0000,  0.0083,  0.0000
152,  1.5200,  0.5685,  0.0000, -0.2348,  0.0000
153,  1.5300,  0.2459,  0.0000, -0.5452,  0.0000
154,  1.5400,  0.0202,  0.0000, -0.7505,  0.0000
155,  1.5500, -0.0333,  0.0000, -0.7800,  0.0000
156,  1.5600, -0.0274,  0.0000, -0.7501,  0.0000
157,  1.5700, -0.0961,  0.0000, -0.7945,  0.0000
158,  1.5800, -0.2014,  0.0000, -0.8736,  0.0000
159,  1.5900, -0.1817,  0.0000, -0.8271,  0.0000
160,  1.6000,  0.0258,  0.0000, -0.5973,  0.0000
161,  1.6100,  0.2940,  0.0000, -0.3147,  0.0000
162,  1.6200,  0.4740,  0.0000, -0.1278,  0.0000
163,  1.6300,  0.5885,  0.0000, -0.0112,  0.0000
164,  1.6400,  0.7857,  0.0000,  0.1834,  0.0000
165,  1.6500,  1.1176,  0.0000,  0.5044,  0.0000
166,  1.6600,  1.4488,  0.0000,  0.8150,  0.0000
167,  1.6700,  1.6252,  0.0000,  0.9634,  0.0000
168,  1.6800,  1.6676,  0.0000,  0.9753,  0.0000
169,  1.6900,  1.7273,  0.0000,  1.0039,  0.0000
170,  1.7000,  1.8634,  0.0000,  1.1069,  0.0000
171,  1.7100,  1.9521,  0.0000,  1.1600,  0.0000
172,  1.7200,  1.8528,  0.0000,  1.0263,  0.0000
173,  1.7300,  1.6026,  0.0000,  0.7482,  0.0000
174,  1.7400,  1.3709,  0.0000,  0.4970,  0.0000
175,  1.7500,  1.2359,  0.0000,  0.3487,  0.0000
176,  1.7600,  1.0920,  0.0000,  0.1962,  0.0000
177,  1.7700,  0.8142,  0.0000, -0.0834,  0.0000
178,  1.7800,  0.4520,  0.0000, -0.4374,  0.0000
179,  1.7900,  0.1835,  0.0000, -0.6882,  0.0000
180,  1.8000,  0.0913,  0.0000, -0.7577,  0.0000
181,  1.8100,  0.0688,  0.0000, -0.7564,  0.0000
182,  1.8200, -0.0158,  0.0000, -0.8163,  0.0000
183,  1.8300, -0.1253,  0.0000, -0.8988,  0.0000
184,  1.8400, -0.0981,  0.0000, -0.8442,  0.0000
185,  1.8500,  0.1294,  0.0000, -0.5941,  0.0000
186,  1.8600,  0.4289,  0.0000, -0.2809,  0.0000
187,  1.8700,  0.6454,  0.0000, -0.0590,  0.0000
188,  1.8800,  0.7940,  0.0000,  0.0891,  0.0000
189,  1.8900,  1.0168,  0.0000,  0.3057,  0.0000
190,  1.9000,  1.3624,  0.0000,  0.6364,  0.0000
191,  1.9100,  1.6926,  0.0000,  0.9419,  0.0000
192,  1.9200,  1.8485,  0.0000,  1.0662,  0.0000
193,  1.9300,  1.8472,  0.0000,  1.0319,  0.0000
194,  1.9400,  1.8403,  0.0000,  0.9932,  0.0000
195,  1.9500,  1.8926,  0.0000,  1.0141,  0.0000
196,  1.9600,  1.8876,  0.0000,  0.9777,  0.0000
197,  1.9700,  1.6907,  0.0000,  0.7536,  0.0000
198,  1.9800,  1.3456,  0.0000,  0.3905,  0.0000
199,  1.9900,  1.0307,  0.0000,  0.0685,  0.0000
200,  2.0000,  0.8361,  0.0000, -0.1252,  0.0000
201,  2.0100,  0.6662,  0.0000, -0.2887,  0.0000
202,  2.0200,  0.4008,  0.0000, -0.5410,  0.0000
203,  2.0300,  0.0903,  0.0000, -0.8300,  0.0000
204,  2.0400, -0.0878,  0.0000, -0.9796,  0.0000
205,  2.0500, -0.0523,  0.0000, -0.9144,  0.0000
206,  2.0600,  0.0842,  0.0000, -0.7517,  0.0000
207,  2.0700,  0.1773,  0.0000, -0.6368,  0.0000
208,  2.0800,  0.2480,  0.0000, -0.5475,  0.0000
209,  2.0900,  0.4421,  0.0000, -0.3395,  0.0000
210,  2.1000,  0.8094,  0.0000,  0.0327,  0.0000
211,  2.1100,  1.2087,  0.0000,  0.4248,  0.0000
212,  2.1200,  1.4717,  0.0000,  0.6706,  0.0000
213,  2.1300,  1.6024,  0.0000,  0.7785,  0.0000
214,  2.1400,  1.7394,  0.0000,  0.8893,  0.0000
215,  2.1500,  1.9360,  0.0000,  1.0554,  0.0000
216,  2.1600,  2.0645,  0.0000,  1.1492,  0.0000
217,  2.1700,  1.9787,  0.0000,  1.0292,  0.0000
218,  2.1800,  1.7121,  0.0000,  0.7348,  0.0000
219,  2.1900,  1.4383,  0.0000,  0.4426,  0.0000
220,  2.2000,  1.2484,  0.0000,  0.2420,  0.0000
221,  2.2100,  1.0508,  0.0000,  0.0399,  0.0000
222,  2.2200,  0.7300,  0.0000, -0.2771,  0.0000
223,  2.2300,  0.3427,  0.0000, -0.6499,  0.0000
224,  2.2400,  0.0756,  0.0000, -0.8928,  0.0000
225,  2.2500,  0.0214,  0.0000, -0.9185,  0.0000
226,  2.2600,  0.0782,  0.0000, -0.8342,  0.0000
227,  2.2700,  0.1080,  0.0000, -0.7790,  0.0000
228,  2.2800,  0.1345,  0.0000, -0.7288,  0.0000
229,  2.2900,  0.3052,  0.0000, -0.5382,  0.0000
230,  2.3000,  0.6710,  0.0000, -0.1615,  0.0000
231,  2.3100,  1.0884,  0.0000,  0.2545,  0.0000
232,  2.3200,  1.3826,  0.0000,  0.5362,  0.0000
233,  2.3300,  1.5488,  0.0000,  0.6832,  0.0000
234,  2.3400,  1.7184,  0.0000,  0.8291,  0.0000
235,  2.3500,  1.9406,  0.0000,  1.0223,  0.0000
236,  2.3600,  2.0847,  0.0000,  1.1325,  0.0000
237,  2.3700,  2.0016,  0.0000,  1.0156,  0.0000
238,  2.3800,  1.7233,  0.0000,  0.7102,  0.0000
239,  2.3900,  1.4265,  0.0000,  0.3960,  0.0000
240,  2.4000,  1.2091,  0.0000,  0.1698,  0.0000
241,  2.4100,  0.9875,  0.0000, -0.0536,  0.0000
242,  2.4200,  0.6524,  0.0000, -0.3819,  0.0000
243,  2.4300,  0.2640,  0.0000, -0.7525,  0.0000
244,  2.4400,  0.0127,  0.0000, -0.9766,  0.0000
245,  2.4500, -0.0055,  0.0000, -0.9644,  0.0000
246,  2.4600,  0.1065,  0.0000, -0.8242,  0.0000
247,  2.4700,  0.2047,  0.0000, -0.7021,  0.0000
248,  2.4800,  0.3023,  0.0000, -0.5842,  0.0000
249,  2.4900,  0.5366,  0.0000, -0.3355,  0.0000
250,  2.5000,  0.9495,  0.0000,  0.0813,  0.0000
251,  2.5100,  1.3892,  0.0000,  0.5117,  0.0000
252,  2.5200,  1.6726,  0.0000,  0.7749,  0.0000
253,  2.5300,  1.7894,  0.0000,  0.8660,  0.0000
254,  2.5400,  1.8721,  0.0000,  0.9206,  0.0000
255,  2.5500,  1.9780,  0.0000,  0.9964,  0.0000
256,  2.5600,  1.9892,  0.0000,  0.9766,  0.0000
257,  2.5700,  1.7706,  0.0000,  0.7312,  0.0000
258,  2.5800,  1.3696,  0.0000,  0.3137,  0.0000
259,  2.5900,  0.9796,  0.0000, -0.0799,  0.0000
260,  2.6000,  0.7154,  0.0000, -0.3375,  0.0000
261,  2.6100,  0.5053,  0.0000, -0.5340,  0.0000
262,  2.6200,  0.2427,  0.0000, -0.7760,  0.0000
263,  2.6300, -0.0176,  0.0000, -1.0083,  0.0000
264,  2.6400, -0.0969,  0.0000, -1.0552,  0.0000
265,  2.6500,  0.0841,  0.0000, -0.8443,  0.0000
266,  2.6600,  0.4007,  0.0000, -0.5065,  0.0000
